COD_MUN,MUNICIPIO,PROVINCIA,COD_ENT
04001,Abla,Almería,d06
04002,Abrucena,Almería,d06
04003,Adra,Almería,d06
04004,Albánchez,Almería,d06
04005,Alboloduy,Almería,d06
04006,Albox,Almería,d06
04007,Alcolea,Almería,d06
04008,Alcóntar,Almería,d06
04009,Alcudia de Monteagud,Almería,d06
04010,Alhabia,Almería,d06
04011,Alhama de Almería,Almería,d06
04012,Alicún,Almería,d06
04013,Almería,Almería,d06
04014,Almócita,Almería,d06
04015,Alsodux,Almería,d06
04016,Antas,Almería,d06
04017,Arboleas,Almería,d06
04018,Armuña de Almanzora,Almería,d06
04019,Bacares,Almería,d06
04020,Bayárcal,Almería,d06
04021,Bayarque,Almería,d06
04022,Bédar,Almería,d06
04023,Beires,Almería,d06
04024,Benahadux,Almería,d06
04026,Benitagla,Almería,d06
04027,Benizalón,Almería,d06
04028,Bentarique,Almería,d06
04029,Berja,Almería,d06
04030,Canjáyar,Almería,d06
04031,Cantoria,Almería,d06
04032,Carboneras,Almería,d06
04033,Castro de Filabres,Almería,d06
04034,Cóbdar,Almería,d06
04035,Cuevas del Almanzora,Almería,d06
04036,Chercos,Almería,d06
04037,Chirivel,Almería,d06
04038,Dalías,Almería,d06
04041,Enix,Almería,d06
04043,Felix,Almería,d06
04044,Fines,Almería,d06
04045,Fiñana,Almería,d06
04046,Fondón,Almería,d06
04047,Gádor,Almería,d06
04048,Los Gallardos,Almería,d06
04049,Garrucha,Almería,d06
04050,Gérgal,Almería,d06
04051,Huécija,Almería,d06
04052,Huércal de Almería,Almería,d06
04053,Huércal-Overa,Almería,d06
04054,Illar,Almería,d06
04055,Instinción,Almería,d06
04056,Laroya,Almería,d06
04057,Láujar de Andarax,Almería,d06
04058,Líjar,Almería,d06
04059,Lubrín,Almería,d06
04060,Lucainena de las Torres,Almería,d06
04061,Lúcar,Almería,d06
04062,Macael,Almería,d06
04063,María,Almería,d06
04064,Mojácar,Almería,d06
04065,Nacimiento,Almería,d06
04066,Níjar,Almería,d06
04067,Ohanes,Almería,d06
04068,Olula de Castro,Almería,d06
04069,Olula del Río,Almería,d06
04070,Oria,Almería,d06
04071,Padules,Almería,d06
04072,Partaloa,Almería,d06
04073,Paterna del Río,Almería,d06
04074,Pechina,Almería,d06
04075,Pulpí,Almería,d06
04076,Purchena,Almería,d06
04077,Rágol,Almería,d06
04078,Rioja,Almería,d06
04079,Roquetas de Mar,Almería,d06
04080,Santa Cruz de Marchena,Almería,d06
04081,Santa Fe de Mondújar,Almería,d06
04082,Senés,Almería,d06
04083,Serón,Almería,d06
04084,Sierro,Almería,d06
04085,Somontín,Almería,d06
04086,Sorbas,Almería,d06
04087,Suflí,Almería,d06
04088,Tabernas,Almería,d06
04089,Taberno,Almería,d06
04090,Tahal,Almería,d06
04091,Terque,Almería,d06
04092,Tíjola,Almería,d06
04093,Turre,Almería,d06
04094,Turrillas,Almería,d06
04095,Uleila del Campo,Almería,d06
04096,Urrácal,Almería,d06
04097,Velefique,Almería,d06
04098,Vélez-Blanco,Almería,d06
04099,Vélez-Rubio,Almería,d06
04100,Vera,Almería,d06
04101,Viator,Almería,d06
04102,Vícar,Almería,d06
04103,Zurgena,Almería,d06
04901,Las Tres Villas,Almería,d06
04902,El Ejido,Almería,d06
04903,La Mojonera,Almería,d06
04904,Balanegra,Almería,d06
11001,Alcalá de los Gazules,Cádiz,d06
11002,Alcalá del Valle,Cádiz,d06
11003,Algar,Cádiz,d06
11004,Algeciras,Cádiz,d06
11005,Algodonales,Cádiz,d06
11006,Arcos de la Frontera,Cádiz,d06
11007,Barbate,Cádiz,d06
11008,Los Barrios,Cádiz,d06
